company,position
OFFICE OF DIRECTOR OF PUBLIC PROSECUTION,DIRECTOR
OFFICE OF THE BOARD OF STUDIES NSW,UNDISCLOSED JOB TITLE
OOBE PL,UNDISCLOSED JOB TITLE
OOBE PL,MANAGING CONSULTANT
PagerDuty - CA,SALES ENGINEER
PARLIAMENT OF VICTORIA,IT MANAGER
PCCW GLOBAL (AUSTRALIA) PTY LIMITED,VP
PCCW GLOBAL AUSTRALIA-EU,UNDISCLOSED JOB TITLE
PCCW GLOBAL AUSTRALIA-EU,UNDISCLOSED JOB TITLE
PCCW GLOBAL AUSTRALIA-EU,SYSTEMS ENGINEER
PEOPLE'S CHOICE CREDIT UNION,HEAD OF SHARED TECHNOLOGY SERVICES
Permodalan Nasional Berhad,"HEAD, IT ARCHITECTURE AND STRATEGY"
Permodalan Nasional Berhad,VICE PRESIDENT
Power & Water Corporation,SECURITY AND SOLUTIONS ARCHITECT & SENIO
POWERLINK QUEENSLAND,IT OPERATIONS MANAGER
POWERLINK QUEENSLAND,MGR IT STRATEGIC ENGAGEMENT AND ASSURANC
POWERLINK QUEENSLAND,TEAM LEADER IT INFRASTRUCTURE
POWERLINK QUEENSLAND,IT INFRASTRUCTURE ARCHITECT
PROCTER & GAMBLE - TREMOR-GBS,FPSS PORTFOLIO MANAGER
PROCTER & GAMBLE - TREMOR-GBS,SR. DIRECTOR FSS
QLD DEPARTMENT OF EDUCATION,DIRECTOR
QLD DEPARTMENT OF EDUCATION,UNDISCLOSED JOB TITLE
QLD DEPARTMENT OF EDUCATION,"MANAGER, AUTOMATION AND CLOUD
ENGINEERIN"
QLD DEPARTMENT OF EDUCATION,UNDISCLOSED JOB TITLE
QLD DEPARTMENT OF EDUCATION,UNDISCLOSED JOB TITLE
QLD DEPT OF JUSTICE & ATTORNEY GENERAL,"EXEC MNGR,TECHNICAL RECORDING & TRANSCRI"
QLD DEPT OF JUSTICE & ATTORNEY GENERAL,UNDISCLOSED JOB TITLE
QLD DEPT OF JUSTICE & ATTORNEY GENERAL,UNDISCLOSED JOB TITLE
QLD DEPT OF JUSTICE & ATTORNEY GENERAL,TECHNICAL LEAD- COURTS
"QLD DEPT. COM, HOUSING & DIGITAL ECONOMY",PRINCIPAL ENTERPRISE ARCHITECT
Queensland Health,PRINCIPAL ENTERPRISE ARCHITECT
QUEENSLAND TITLES REGISTRY PTY LTD,SOLUTION ARCHITECT
RAA,UNDISCLOSED JOB TITLE
RAA,"MANAGER, CLOUD ENABLEMENT, INFRASTRUCTUR"
Rabobank Australia Group,TEAM LEADER DATABASE ADMINISTRATION
Rabobank Nederland,SENIOR MANAGER CLOUD TRANSFORMATION
RailCorp NSW,SENIOR SOFTWARE ENGINEER
RailCorp NSW,SNR SOLUTION ARCHITECT
RailCorp NSW,"DIRECTOR, TRANSFORMATION & DESIGN"
RAMSAY HEALTH CARE LIMITED,IT PLATFORMS MANAGER
realestate.com.au,"EXECUTIVE MANAGER, CONSUMER TECHNOLOGY"
RESERVE BANK OF AUSTRALIA,DEV TOOLS TECHNICAL LEAD
RESERVE BANK OF AUSTRALIA,"MANAGER, END USER SERVICES"
RESERVE BANK OF AUSTRALIA,"MANAGER, COLLABORATION SYSTEMS"
RESERVE BANK OF AUSTRALIA,NETWORK SUPPORT TEAM LEAD
RESERVE BANK OF AUSTRALIA,NETWORK SERVICES MANAGER
RESERVE BANK OF AUSTRALIA,IT
RESERVE BANK OF AUSTRALIA,SENOR TECHNICAL CONSULTANT
RESERVE BANK OF AUSTRALIA,MANAGER
RESERVE BANK OF AUSTRALIA,MANAGER
RESERVE BANK OF AUSTRALIA,MANAGER
RESERVE BANK OF AUSTRALIA,MANAGER
RETAIL EMPLOYEES SUPERANNUATION969-CEBBS,HEAD OF ARCHITECTURE & STRATEGY
REYES HOLDINGS LLC - IL,"UNIFIED COMMUNICATIONS, SERVICE DELIVERY
DIRECTOR, NETWORK"
REYES HOLDINGS LLC - IL,DIRECTOR
REYES HOLDINGS LLC - IL,"SR. DIRECTOR, GLOBAL CYBER SECURITY
SOLUTIONS"
REYES HOLDINGS LLC - IL,REGIONAL INFRASTRUCTURE MANAGER APMEA
Rightscale Group,CHIEF EXECUTIVE OFFICER
Roads and Maritime Services,"COMMERCIAL MANAGER, INFORMATION
TECHNOLOGY AMS"
Roads and Maritime Services,TECHNICAL LEAD
Roads and Maritime Services,DIRECTOR END USER COMPUTE
Roads and Maritime Services,HEAD OF STRATEGY AND ARCHITECTURE
Roads and Maritime Services,HOSTING DOMAIN ARCHITECT
Roads and Maritime Services,DIRECTOR SIAM
Roads and Maritime Services,DIRECTOR PLATFORM & SERVICES MANAGEMENT
Roads and Maritime Services,DIRECTOR IT COMMERCIAL PARTNERSHIPS
Roads and Maritime Services,ENTERPRISE INTEGRATION ARCHITECT
Roads and Maritime Services,APPLICATION MANAGEMENT
Roads and Maritime Services,SM PRODUCTS & APP SERVICES CLOUD ENG
Roads and Maritime Services,SENIOR ANALYST SECURITY SERVICES
Roads and Maritime Services,HEAD OF STRATEGY
Roads and Maritime Services,"ENTERPRISE ARCHITECT, INTEGRATION"
Roads and Maritime Services,SERVICE DELIVERY
Roads and Maritime Services,UNDISCLOSED JOB TITLE
Roads and Maritime Services,UNDISCLOSED JOB TITLE
Roads and Maritime Services,APPLICATION MANAGEMENT
Roads and Maritime Services,APPLICATION MANAGEMENT
Roads and Maritime Services,SENIOR PRODUCT OWNER DATABASE
SA HEALTH,CHIEF ENGINEER
SA Power Networks,INFRASTRUCTURE DESIGN MANAGER
SA WATER,UNDISCLOSED JOB TITLE
SABIC TRADE FZC,"SENIOR MANAGER, SYSTEM ENGINEERING AND D"
SAUDI IRRIGATION ORGANIZATION,SYSTEM ADMIN
SecOps NZ,UNDISCLOSED JOB TITLE
SEQ WATER REFORM PROGRAM,MANAGER ICT
SEQ WATER REFORM PROGRAM,TEAM LEADER ICT OPERATIONS
SEQ WATER REFORM PROGRAM,TECHNICAL SPECIALIST
SEQ WATER REFORM PROGRAM,ENTERPRISE ARCHITECT
SONIC HEALTHCARE PTY LTD,GROUP INFRASTRUCTURE MANAGER
STATE WATER (NSW),MANAGER ICT INFRASTRUCTURE
Stockland,SENIOR MANAGER IT OPERATIONS
SUNCORP CORPORATE SERVICES PTY LTD - AUS,EGM INFRASTRUCTURE
SUNCORP CORPORATE SERVICES PTY LTD - AUS,UNDISCLOSED JOB TITLE
SUNCORP CORPORATE SERVICES PTY LTD - AUS,SME VIRTUALISTATION
SUNCORP GROUP NEW ZEALAND LIMITED,SYSTEMS ENGINEER
SURBANA JURONG,INFRASTRUCTURE SYSTEMS MANAGER
SUTHERLAND SHIRE COUNCIL,UNDISCLOSED JOB TITLE
SUTHERLAND SHIRE COUNCIL,IT INFRASTRUCTURE LEAD
SWISS SENSE,HOUSE KEEPING
Sydney City Council,ENTERPRISE ARCHITECT
SYNERGY,INFRASTRUCTURE SUPPORT LEAD
SYNERGY,CLOUD PLATFORM LEAD
TABCORP HOLDINGS - AUSTRALIA,GENERAL MANAGER
TABCORP HOLDINGS - AUSTRALIA,UNDISCLOSED JOB TITLE
TEG,UNDISCLOSED JOB TITLE
Terry White Chemists,UNDISCLOSED JOB TITLE
TFNSW-RDS,ENTERPRISE ARCHITECT
THE LOTTERY CORPORATION,UNDISCLOSED JOB TITLE
The University of Auckland,HEAD OF PLATFORM ENGINEERING
The University of Auckland,HEAD OF PRODUCT ENGINEERING
The University of Auckland,UNDISCLOSED JOB TITLE
"Thousand Eyes, Inc.",PRINCIPAL SOLTION ANALYST
TRANSPORT FOR NSW577-CEBBS,CAPACITY & AVAILABILITY MANAGER
TRANSPORT FOR NSW577-CEBBS,DIRECTOR EA
TRONOX - CT,"DIRECTOR, NETWORK ARCHITECTURE"
TUTT BRYANT,INFRASTRUCTURE MANAGER
TWUSUPER,ADMINISTRATION AND TECHNOLOGY MANAGER
